id,tenant_id,site_id,equipment_id,equipment_code,equipment_type,snapshot_id,source_system,source_record_id,source_version,authority,observed_at,effective_from,effective_to,required_scopes,content_hash,created_at
0411695e-5708-53c7-8612-96ed5d8fbe3c,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-001,HX-V2-EQP-001,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-001,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",7af1417ee63b75441d19a6bb25d50a3d5d904be62bfd3618eada299733474e69,2026-08-01T12:05:00Z
4ea3fb28-c0b1-55a0-bf58-51585ac4f942,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-002,HX-V2-EQP-002,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-002,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",9377a13320d46388f710a05fd4ba68781d7c6c4985b17f9a1a1e233fe1ea67fa,2026-08-01T12:05:00Z
9748496b-b4d0-5998-bca3-c4399759b804,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-003,HX-V2-EQP-003,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-003,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",f70902b69152aaf6cd9c0c1337a209824d06500c1b44b16d7bbda0cc682c146b,2026-08-01T12:05:00Z
e715334e-244e-5b52-bdda-4618b1d4668a,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-004,HX-V2-EQP-004,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-004,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",ca1909b40e869792928db564fa8e889b4f179baa7a9ca2d3238855687f62d32c,2026-08-01T12:05:00Z
59b22271-da14-5444-9af5-939116e9afec,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-005,HX-V2-EQP-005,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-005,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",3e94f1665f319d682341782e49ca7a44a31f1fad3ebe1ed2d9eb743bdfefe361,2026-08-01T12:05:00Z
549063d5-4a39-5a02-9ab3-2b5a6cdd4fc5,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-006,HX-V2-EQP-006,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-006,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",238761c7719c2db7744a2c81399ecdc2432bd7e97e992563e78ba87f7f2df8ae,2026-08-01T12:05:00Z
6d42b195-ac29-5948-bd46-07150d608167,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-007,HX-V2-EQP-007,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-007,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",742bbc2139759c62ae92838e52115004fcbe9fd8074d93d0e64ba88481d8a19a,2026-08-01T12:05:00Z
675eb3dd-36f3-57ed-8b38-1d1a911b9041,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-008,HX-V2-EQP-008,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-008,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",5d6ab263801ed1da2722dd3ffedf4774e346abed32ca4ac91109ff6658bd1d39,2026-08-01T12:05:00Z
b617f5eb-6511-5559-bc2b-4cc3b99931d4,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-009,HX-V2-EQP-009,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-009,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",2db06daca9d077fa4cd70fd2792809eb0c65557116165feedfad735b21470fb6,2026-08-01T12:05:00Z
d8e664fe-0886-5597-b887-8d0aa77bdb96,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-010,HX-V2-EQP-010,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-010,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",8f9dd4ba9e540d9e0c6e6a154a6a5fa7c89d63f4adb1fe222e07f820dbbd103e,2026-08-01T12:05:00Z
63131206-e0d4-5ba3-9dcc-3506421c9a32,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-011,HX-V2-EQP-011,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-011,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",9093ccdef150441fc4677f24a83c82d231554903d277a32b6a7a7d4e8a6cdf76,2026-08-01T12:05:00Z
b0ff532c-7cb4-573d-a8ec-0099261f2158,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-012,HX-V2-EQP-012,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-012,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",d1a6f010dd7689c4a9759423f9f49473c26cc8d0bc7533d56f0bcd9eeb1fe3c1,2026-08-01T12:05:00Z
280ed42f-60b3-512c-b190-19c774e2a5ff,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-013,HX-V2-EQP-013,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-013,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",dced8160c268d90467497ebd232aa0ea9980fac199c2204c3dd99f38d7e44e8b,2026-08-01T12:05:00Z
b0905de0-88df-59a7-8f94-60ccad6d62ef,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-014,HX-V2-EQP-014,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-014,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",f0fe862ea07a5811f5188ef4f6ec1ffedceebf4995703fd18d9fbc7234fc5003,2026-08-01T12:05:00Z
041473a0-5d16-5abd-80c5-776aefee5c15,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-EQP-015,HX-V2-EQP-015,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-EQP-HX-V2-EQP-015,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",2379349fda759b25f8f761d805fe225b1e9eeb6aa402a2695bebe6203f634115,2026-08-01T12:05:00Z
c832e3fe-41c8-53f0-8254-0e858b39b09a,HX-TENANT-BETA,HX-SITE-B1,HX-V2-EQP-014,HX-V2-EQP-014,optical_dimensional_inspector,hx-mfg-v1-snapshot-001,EQMS,EQMS-BETA-EQP-HX-V2-EQP-014,v1,approved_equipment_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",f0fe862ea07a5811f5188ef4f6ec1ffedceebf4995703fd18d9fbc7234fc5003,2026-08-01T12:05:00Z
