id,tenant_id,site_id,certificate_id,lot_id,certificate_number,verification_status,issuer_name,issued_at,verified_at,snapshot_id,source_system,source_record_id,source_version,authority,observed_at,effective_from,effective_to,required_scopes,content_hash,created_at
e9f56d89-13e7-563b-b937-c12be352047f,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-001,HX-V2-LOT-001,SYN-COA-001-2026,VERIFIED,Northstar Synthetic Supply 01,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-001,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",ca30c7c3959cc563ac0e2cfc12940b40aeac55a13462b6d707035f214007a6f4,2026-08-01T12:05:00Z
1ac048f4-030b-553a-a20f-04a82871aee8,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-002,HX-V2-LOT-002,SYN-COA-002-2026,VERIFIED,Northstar Synthetic Supply 02,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-002,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",c5e986a574ad27063eb4962a4a121f791caa9d637c2ba15f8d3218257872a6e7,2026-08-01T12:05:00Z
8539ea00-6625-5912-a77e-75bdd087bac5,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-003,HX-V2-LOT-003,SYN-COA-003-2026,INVALID,Northstar Synthetic Supply 03,2026-07-29T10:00:00Z,,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-003,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",4651bd9986301fc491f3051fd84724c0833c2b82109b97074b9740f72be0fcfd,2026-08-01T12:05:00Z
2dc0362e-025b-5441-a47c-a9f5f5806991,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-004,HX-V2-LOT-004,SYN-COA-004-2026,VERIFIED,Northstar Synthetic Supply 04,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-004,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",3be1b2fb08e44efe17ef2d7f8daeada806e2def6f008aa3b9bb93b23678620db,2026-08-01T12:05:00Z
d365d65f-5b3c-5593-87d0-9b4be19ee4e1,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-005,HX-V2-LOT-005,SYN-COA-005-2026,VERIFIED,Northstar Synthetic Supply 05,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-005,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",ff4662e7a6dffbd276694431f558495a02ef61e9782c4c9bca613228ab756c49,2026-08-01T12:05:00Z
95c6c037-c5ce-5c81-a0c5-a5b2b7da51b0,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-006,HX-V2-LOT-006,SYN-COA-006-2026,VERIFIED,Northstar Synthetic Supply 06,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-006,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",c14bb1c063ba0e6575ffa76c9b131809f99e6d9299fa2ab6684a82ae58e23196,2026-08-01T12:05:00Z
953d16be-ce46-580e-928a-fb11d6f28a4b,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-007,HX-V2-LOT-007,SYN-COA-007-2026,VERIFIED,Northstar Synthetic Supply 07,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-007,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",3321bdc7c20713c42ae74ce98c7e25fbaf18c695877c8597ea8cff628dc1369d,2026-08-01T12:05:00Z
c5d5acec-f8d0-5ad3-a4e5-7752730d362e,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-008,HX-V2-LOT-008,SYN-COA-008-2026,VERIFIED,Northstar Synthetic Supply 08,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-008,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",704cb70f57572da1aecfd6c740f96abc7afc071a72aeedb7ed592ff1a6db9152,2026-08-01T12:05:00Z
6d457118-2a15-55d6-88ba-903df48429e3,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-009,HX-V2-LOT-009,SYN-COA-009-2026,VERIFIED,Northstar Synthetic Supply 09,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-009,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",2826b27a0764a7896cfff853006d222eb4f4c11093e565b80efcec0b57b6ab9e,2026-08-01T12:05:00Z
88f97903-a0aa-54ff-913e-8e73172bd67d,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-COA-010,HX-V2-LOT-010,SYN-COA-010-2026,VERIFIED,Northstar Synthetic Supply 10,2026-07-29T10:00:00Z,2026-07-30T09:00:00Z,hx-mfg-v1-snapshot-001,SUPPLIER_PORTAL,SUPPORTAL-COA-HX-V2-LOT-010,v1,verified_supplier_record,2026-07-30T09:00:00Z,2026-07-29T10:00:00Z,,"{""quality""}",6857fbb5ba2a8de43b06948bd17e5112123bb99ab73790a10dd97aeaa44beb25,2026-08-01T12:05:00Z
