id,tenant_id,site_id,part_id,part_number,part_family,description,snapshot_id,source_system,source_record_id,source_version,authority,observed_at,effective_from,effective_to,required_scopes,content_hash,created_at
68b268ad-bc5a-5e34-815f-3240e4949a5f,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-001,HX-V2-PART-001,precision_valve_body,Synthetic precision valve body variant 01,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-001,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",fa615076148633c1874bb1efe2b5ba5fff0631266b2f6364f8eb5dd24a9984f0,2026-08-01T12:05:00Z
146afde8-8739-5e24-8339-8ce256d02ef0,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-002,HX-V2-PART-002,precision_valve_body,Synthetic precision valve body variant 02,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-002,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",83c7ccf42227eb6d9d043b0e3659dd5b18c9a71cbddfb127b72b04d11b798139,2026-08-01T12:05:00Z
01dcba9a-046c-57a6-bfc5-8af47306b215,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-003,HX-V2-PART-003,precision_valve_body,Synthetic precision valve body variant 03,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-003,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",e73018c14bb387b0e7f1f6cfb9e118c6679a9ccda850c0d31489dfbd39338bb6,2026-08-01T12:05:00Z
60d90e25-e578-52b2-9490-3a96581332f1,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-004,HX-V2-PART-004,precision_valve_body,Synthetic precision valve body variant 04,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-004,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",960794a4a870019884da084e8e57258b15ff6251e64eafe95873095a499a4357,2026-08-01T12:05:00Z
5514f284-aa80-5f3b-942f-ad60335847a0,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-005,HX-V2-PART-005,precision_valve_body,Synthetic precision valve body variant 05,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-005,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",c9a760847885982e0f5bb6e4c0588fba5e9803bec7737b77fe1573a04a2b9912,2026-08-01T12:05:00Z
4a9f206d-4221-581e-a497-be645f3394e0,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-006,HX-V2-PART-006,precision_valve_body,Synthetic precision valve body variant 06,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-006,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",04bde8576e8fe65b367606809f75c7ebc3b47a2a59d4705238abff2da34a010e,2026-08-01T12:05:00Z
fc414db5-2f4b-53ea-9659-53e46aaea07c,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-007,HX-V2-PART-007,precision_valve_body,Synthetic precision valve body variant 07,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-007,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",205dea44b10d7e9cdc0291254d68a01f5bb122062e6ca0af52cf590b4d22dba9,2026-08-01T12:05:00Z
062bc707-09d1-5972-8c6a-1a6f5b1d1640,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-008,HX-V2-PART-008,precision_valve_body,Synthetic precision valve body variant 08,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-008,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",0787f017b302e730e26300d275f57be20248a1fa2ffca2cac8689968957c897a,2026-08-01T12:05:00Z
ed7e5be9-04e9-5774-8541-98473b4fd8d9,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-009,HX-V2-PART-009,precision_valve_body,Synthetic precision valve body variant 09,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-009,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",a85f468018b8aa384e4c9ea3cde777a3d55ec8e5d4da2d07e2df8454a75b6815,2026-08-01T12:05:00Z
3c2066fa-b8b1-50e5-b54b-0af8f426c9da,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-PART-010,HX-V2-PART-010,precision_valve_body,Synthetic precision valve body variant 10,hx-mfg-v1-snapshot-001,PLM,PLM-PART-HX-V2-PART-010,v1,released_part_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",a3a107f41e6e589730e5529a727a3590f46524a59a3c51adf56381815f6fbb99,2026-08-01T12:05:00Z
