id,tenant_id,site_id,lot_id,lot_number,part_id,supplier_id,inspection_equipment_id,observed_part_revision,quantity,manufactured_at,status,snapshot_id,source_system,source_record_id,source_version,authority,observed_at,effective_from,effective_to,required_scopes,content_hash,created_at
6c9bc634-b546-5572-9e77-a2808e5e3699,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-001,HX-V2-LOT-001,HX-V2-PART-001,HX-V2-SUP-001,HX-V2-EQP-001,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-001,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",81fe71d0d972f0d40df087785e7d4495d4e9404148f46dcb1d7a0918eeca39c4,2026-08-01T12:05:00Z
002c258e-6725-592f-b830-9f5ed8cf163a,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-002,HX-V2-LOT-002,HX-V2-PART-002,HX-V2-SUP-002,HX-V2-EQP-002,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-002,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",1c982efe7f65723d913cdfdf70fbf1ae67700b34a68b8efdffd482a74d2be86d,2026-08-01T12:05:00Z
f2829b1f-ba4e-5bd3-9a0d-57ee28c2943a,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-003,HX-V2-LOT-003,HX-V2-PART-003,HX-V2-SUP-003,HX-V2-EQP-003,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-003,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",69245a46dbd6bedbc8825192c4a21d65a0f8c882cb19a6fc53d5909fbbab0299,2026-08-01T12:05:00Z
1cb32a3d-4291-5ec2-80f0-5f622ec6c6bb,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-004,HX-V2-LOT-004,HX-V2-PART-004,HX-V2-SUP-004,HX-V2-EQP-004,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-004,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",dc3750ff3881075ba4f2a32aa24d3a69fdf7ea99ef8fb2be6ecb1a2ee86f8372,2026-08-01T12:05:00Z
24929bdc-71cd-54df-835b-d50ec56aad31,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-005,HX-V2-LOT-005,HX-V2-PART-005,HX-V2-SUP-005,HX-V2-EQP-005,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-005,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",3ee3933a40d97a87053d5887cf1a46584d463719393c6b7295fd8c077d808215,2026-08-01T12:05:00Z
aa6d15f4-a680-56e5-af7a-e2158af36307,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-006,HX-V2-LOT-006,HX-V2-PART-006,HX-V2-SUP-006,HX-V2-EQP-006,B,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-006,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",548e5c2211ef0e755e89f8317fd64674a862ca51bfd5479d0f4fdc8b92d41ffd,2026-08-01T12:05:00Z
7b28360c-5d6c-57bf-b6cc-5082fcf7a1e9,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-007,HX-V2-LOT-007,HX-V2-PART-007,HX-V2-SUP-007,HX-V2-EQP-007,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-007,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",c817830d26950ba63690771f2178e58f2d0b6a042fc92101a353ffdcad61a8b9,2026-08-01T12:05:00Z
9d560afc-4c6c-5f0a-a3d3-23a0d63f55ad,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-008,HX-V2-LOT-008,HX-V2-PART-008,HX-V2-SUP-008,HX-V2-EQP-008,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-008,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",1eb5cd50b4ee7ec3bc8ce407d0762670680634a0422d522fd810ee384138b6e9,2026-08-01T12:05:00Z
3c01daf2-6542-5880-9e5e-85bd392b125b,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-009,HX-V2-LOT-009,HX-V2-PART-009,HX-V2-SUP-009,HX-V2-EQP-009,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-009,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",a4778ccd9e3fae41e64c3241208fe7668fb24cea23cb0ea0af3ef17955571b93,2026-08-01T12:05:00Z
5be6b844-ca2f-595e-adc9-2eb21150ac74,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-LOT-010,HX-V2-LOT-010,HX-V2-PART-010,HX-V2-SUP-010,HX-V2-EQP-010,C,500,2026-07-29T08:00:00Z,INSPECTED,hx-mfg-v1-snapshot-001,MES,MES-LOT-HX-V2-LOT-010,v1,approved_manufacturing_record,2026-07-30T14:05:00Z,2026-07-29T08:00:00Z,,"{""quality""}",f8869f46279f17f58bf15ef85528fa4ce580b3377c8575a3a0addf106e23d5e1,2026-08-01T12:05:00Z
