id,tenant_id,site_id,revision_id,part_id,revision_code,release_status,released_at,snapshot_id,source_system,source_record_id,source_version,authority,observed_at,effective_from,effective_to,required_scopes,content_hash,created_at
c723aee2-f478-5b75-93b0-881ddd8c726b,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-001-C,HX-V2-PART-001,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-001-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",a38410e899fd7fa8aad92d5a94029bef4dc5be9f3f06c76122e1d79758df9227,2026-08-01T12:05:00Z
483ba890-fbd1-57b0-8b6d-d33d1afecff2,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-002-C,HX-V2-PART-002,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-002-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",d9d2a9192b065ce85ddd9e10aa52583a7dbbf75d4e2f76f7f60c9f7b72a7c3db,2026-08-01T12:05:00Z
1b15ecc2-8a9a-5a67-a6f7-9ce5b0074b65,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-003-C,HX-V2-PART-003,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-003-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",825c19152341f34ccf4805f5afbea6bf3b84a371871b45d6816ea7c83b8a7c44,2026-08-01T12:05:00Z
122c57cf-591a-5989-a879-3c6dd96a8497,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-004-C,HX-V2-PART-004,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-004-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",12dab1a560759eac9ae744aad7ac2093f04ccc8707c770bcc5de961106dc6fa4,2026-08-01T12:05:00Z
4fd7c60d-7192-57ce-ab02-c4651ca267f3,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-005-C,HX-V2-PART-005,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-005-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",f10ddafe6c2f683acb1eb41304c031a42cd32907a98f1a76b2cfe307566b5783,2026-08-01T12:05:00Z
8bd685d6-9587-51b6-ac40-b39fbf0c03b4,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-006-C,HX-V2-PART-006,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-006-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",89a4530d5b85b3370fbab669894b7b40be515531cae74293a4d6f8286645d5ca,2026-08-01T12:05:00Z
9362cdf3-9619-5bee-b255-e9cc442c6f34,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-007-C,HX-V2-PART-007,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-007-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",8bc504481d611e8f73a78ea47ddf814113318aa90161e9e33c1979e5df5dae90,2026-08-01T12:05:00Z
e0dafaa4-f17e-5fe3-bbf5-f73c94760770,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-008-C,HX-V2-PART-008,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-008-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",ae39a1550ca85568dab41d21812f54950c6f3401ce20b17b0d26356af3e2fced,2026-08-01T12:05:00Z
9f5eb345-7ff9-5750-acfd-32ee5ea531b7,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-009-C,HX-V2-PART-009,C,RELEASED,2026-01-15T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-009-C,rev-C,released_engineering_record,2026-01-15T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",600b6bb703186b2114ab523b2c460f19dbdb5744b5a659878ce36fd727a37348,2026-08-01T12:05:00Z
bcc363ec-29ec-51ba-8dc7-a0c6913865b8,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-REV-010-B,HX-V2-PART-010,B,RELEASED,2026-01-10T12:00:00Z,hx-mfg-v1-snapshot-001,PLM,PLM-REV-HX-V2-PART-010-B,rev-B,released_engineering_record,2026-01-10T12:00:00Z,2026-02-01T00:00:00Z,,"{""quality""}",5afeddef6acc3c913089d4671b3bf3020982fb0efc3e3b518fae3be63ba5ab60,2026-08-01T12:05:00Z
